open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
221.65,226.45,221.65,226.34,60330900.0,226.45,221.65,226.34,221.65,60412408.0,1.0,0.0,AAPL,XNAS,2024-07-05T00:00:00+0000
220.0,221.55,219.03,221.55,37369801.0,221.55,219.03,221.55,220.0,37369801.0,1.0,0.0,AAPL,XNAS,2024-07-03T00:00:00+0000
216.15,220.38,215.1,220.27,56716509.0,220.38,215.1,220.27,216.15,58046178.0,1.0,0.0,AAPL,XNAS,2024-07-02T00:00:00+0000
212.13,217.51,211.92,216.75,59923038.0,217.51,211.92,216.75,212.09,60402929.0,1.0,0.0,AAPL,XNAS,2024-07-01T00:00:00+0000
215.77,216.07,210.3,210.62,82475600.0,216.07,210.3,210.62,215.77,82542718.0,1.0,0.0,AAPL,XNAS,2024-06-28T00:00:00+0000
214.63,215.7395,212.35,214.1,49566822.0,215.7395,212.35,214.1,214.69,49772707.0,1.0,0.0,AAPL,XNAS,2024-06-27T00:00:00+0000
211.5,214.86,210.64,213.25,64292900.0,214.86,210.64,213.25,211.5,66213186.0,1.0,0.0,AAPL,XNAS,2024-06-26T00:00:00+0000
209.08,211.38,208.61,209.07,56267620.0,211.38,208.61,209.07,209.15,56713868.0,1.0,0.0,AAPL,XNAS,2024-06-25T00:00:00+0000
207.72,212.7,206.59,208.14,78306092.0,212.7,206.59,208.14,207.72,80727006.0,1.0,0.0,AAPL,XNAS,2024-06-24T00:00:00+0000
210.39,211.89,207.11,207.49,241805100.0,211.89,207.11,207.49,210.39,246421353.0,1.0,0.0,AAPL,XNAS,2024-06-21T00:00:00+0000
213.93,214.24,208.85,209.68,85999620.0,214.24,208.85,209.68,213.93,86172451.0,1.0,0.0,AAPL,XNAS,2024-06-20T00:00:00+0000
217.61,218.63,213.0,214.29,79685043.0,218.63,213.0,214.29,217.59,79943254.0,1.0,0.0,AAPL,XNAS,2024-06-18T00:00:00+0000
213.3,218.945,212.72,216.67,92624350.0,218.95,212.72,216.67,213.37,93728300.0,1.0,0.0,AAPL,XNAS,2024-06-17T00:00:00+0000
213.85,215.17,211.3,212.49,69175600.0,215.17,211.3,212.49,213.85,70122748.0,1.0,0.0,AAPL,XNAS,2024-06-14T00:00:00+0000
214.78,216.75,211.6,214.24,96416123.0,216.75,211.6,214.24,214.74,97862729.0,1.0,0.0,AAPL,XNAS,2024-06-13T00:00:00+0000
207.36,220.2,206.91,213.07,194031540.0,220.2,206.9,213.07,207.37,198134293.0,1.0,0.0,AAPL,XNAS,2024-06-12T00:00:00+0000
193.66,207.16,193.64,207.15,168874733.0,207.16,193.63,207.15,193.65,172373296.0,1.0,0.0,AAPL,XNAS,2024-06-11T00:00:00+0000
197.2,197.2801,192.15,193.12,95293555.0,197.3,192.15,193.12,196.9,97262077.0,1.0,0.0,AAPL,XNAS,2024-06-10T00:00:00+0000
194.65,196.94,194.14,196.89,53044700.0,196.94,194.14,196.89,194.65,53103912.0,1.0,0.0,AAPL,XNAS,2024-06-07T00:00:00+0000
